environment_biome	environment_biome_hl	environment_biome_hl2
human-associated habitat ENVO:00009277	terrestrial_probable	land
human-associated habitat ENVO:00009278	terrestrial_probable	land
human-associated habitat ENVO:00009279	terrestrial_probable	land
human-associated habitat ENVO:00009280	terrestrial_probable	land
human-associated habitat ENVO:00009281	terrestrial_probable	land
human-associated habitat ENVO:00009282	terrestrial_probable	land
human-associated habitat ENVO:00009283	terrestrial_probable	land
human-associated habitat ENVO:00009284	terrestrial_probable	land
human-associated habitat ENVO:00009285	terrestrial_probable	land
human-associated habitat ENVO:00009286	terrestrial_probable	land
human-associated habitat ENVO:00009287	terrestrial_probable	land
human-associated habitat ENVO:00009288	terrestrial_probable	land
human-associated habitat ENVO:00009289	terrestrial_probable	land
human-associated habitat ENVO:00009290	terrestrial_probable	land
human-associated habitat ENVO:00009291	terrestrial_probable	land
human-associated habitat ENVO:00009292	terrestrial_probable	land
human-associated habitat ENVO:00009293	terrestrial_probable	land
human-associated habitat ENVO:00009294	terrestrial_probable	land
human-associated habitat ENVO:00009295	terrestrial_probable	land
human-associated habitat ENVO:00009296	terrestrial_probable	land
human-associated habitat ENVO:00009297	terrestrial_probable	land
human-associated habitat ENVO:00009298	terrestrial_probable	land
human-associated habitat ENVO:00009299	terrestrial_probable	land
human-associated habitat ENVO:00009300	terrestrial_probable	land
human-associated habitat ENVO:00009301	terrestrial_probable	land
human-associated habitat ENVO:00009302	terrestrial_probable	land
human-associated habitat ENVO:00009303	terrestrial_probable	land
human-associated habitat ENVO:00009304	terrestrial_probable	land
human-associated habitat ENVO:00009305	terrestrial_probable	land
human-associated habitat ENVO:00009306	terrestrial_probable	land
human-associated habitat ENVO:00009307	terrestrial_probable	land
human-associated habitat ENVO:00009308	terrestrial_probable	land
human-associated habitat ENVO:00009309	terrestrial_probable	land
human-associated habitat ENVO:00009310	terrestrial_probable	land
human-associated habitat ENVO:00009311	terrestrial_probable	land
human-associated habitat ENVO:00009312	terrestrial_probable	land
human-associated habitat ENVO:00009313	terrestrial_probable	land
human-associated habitat ENVO:00009314	terrestrial_probable	land
human-associated habitat ENVO:00009315	terrestrial_probable	land
human-associated habitat ENVO:00009316	terrestrial_probable	land
human-associated habitat ENVO:00009317	terrestrial_probable	land
human-associated habitat ENVO:00009318	terrestrial_probable	land
human-associated habitat ENVO:00009319	terrestrial_probable	land
human-associated habitat ENVO:00009320	terrestrial_probable	land
human-associated habitat ENVO:00009321	terrestrial_probable	land
human-associated habitat ENVO:00009322	terrestrial_probable	land
human-associated habitat ENVO:00009323	terrestrial_probable	land
human-associated habitat ENVO:00009324	terrestrial_probable	land
human-associated habitat ENVO:00009325	terrestrial_probable	land
human-associated habitat ENVO:00009326	terrestrial_probable	land
human-associated habitat ENVO:00009327	terrestrial_probable	land
human-associated habitat ENVO:00009328	terrestrial_probable	land
human-associated habitat ENVO:00009329	terrestrial_probable	land
human-associated habitat ENVO:00009330	terrestrial_probable	land
human-associated habitat ENVO:00009331	terrestrial_probable	land
human-associated habitat ENVO:00009332	terrestrial_probable	land
human-associated habitat ENVO:00009333	terrestrial_probable	land
human-associated habitat ENVO:00009334	terrestrial_probable	land
human-associated habitat ENVO:00009335	terrestrial_probable	land
human-associated habitat ENVO:00009336	terrestrial_probable	land
human-associated habitat ENVO:00009337	terrestrial_probable	land
human-associated habitat ENVO:00009338	terrestrial_probable	land
human-associated habitat ENVO:00009339	terrestrial_probable	land
human-associated habitat ENVO:00009340	terrestrial_probable	land
human-associated habitat ENVO:00009341	terrestrial_probable	land
human-associated habitat ENVO:00009342	terrestrial_probable	land
human-associated habitat ENVO:00009343	terrestrial_probable	land
human-associated habitat ENVO:00009344	terrestrial_probable	land
human-associated habitat ENVO:00009345	terrestrial_probable	land
human-associated habitat ENVO:00009346	terrestrial_probable	land
human-associated habitat ENVO:00009347	terrestrial_probable	land
human-associated habitat ENVO:00009348	terrestrial_probable	land
human-associated habitat ENVO:00009349	terrestrial_probable	land
human-associated habitat ENVO:00009350	terrestrial_probable	land
human-associated habitat ENVO:00009351	terrestrial_probable	land
human-associated habitat ENVO:00009352	terrestrial_probable	land
human-associated habitat ENVO:00009353	terrestrial_probable	land
human-associated habitat ENVO:00009354	terrestrial_probable	land
human-associated habitat ENVO:00009355	terrestrial_probable	land
human-associated habitat ENVO:00009356	terrestrial_probable	land
human-associated habitat ENVO:00009357	terrestrial_probable	land
human-associated habitat ENVO:00009358	terrestrial_probable	land
human-associated habitat ENVO:00009359	terrestrial_probable	land
human-associated habitat ENVO:00009360	terrestrial_probable	land
human-associated habitat ENVO:00009361	terrestrial_probable	land
human-associated habitat ENVO:00009362	terrestrial_probable	land
human-associated habitat ENVO:00009363	terrestrial_probable	land
human-associated habitat ENVO:00009364	terrestrial_probable	land
human-associated habitat ENVO:00009365	terrestrial_probable	land
human-associated habitat ENVO:00009366	terrestrial_probable	land
human-associated habitat ENVO:00009367	terrestrial_probable	land
human-associated habitat ENVO:00009368	terrestrial_probable	land
human-associated habitat ENVO:00009369	terrestrial_probable	land
human-associated habitat ENVO:00009370	terrestrial_probable	land
human-associated habitat ENVO:00009371	terrestrial_probable	land
human-associated habitat ENVO:00009372	terrestrial_probable	land
human-associated habitat ENVO:00009373	terrestrial_probable	land
human-associated habitat ENVO:00009374	terrestrial_probable	land
human-associated habitat ENVO:00009375	terrestrial_probable	land
human-associated habitat ENVO:00009376	terrestrial_probable	land
human-associated habitat ENVO:00009377	terrestrial_probable	land
human-associated habitat ENVO:00009378	terrestrial_probable	land
human-associated habitat ENVO:00009379	terrestrial_probable	land
human-associated habitat ENVO:00009380	terrestrial_probable	land
human-associated habitat ENVO:00009381	terrestrial_probable	land
human-associated habitat ENVO:00009382	terrestrial_probable	land
human-associated habitat ENVO:00009383	terrestrial_probable	land
Insect and food	unclassified	unclassified
atmosphere	unclassified	unclassified
Temperate grassland and shrubland biome	terrestrial	land
wastewater/sludge	terrestrial_probable	other_terrestrial_water
wood	terrestrial	land
Tropical and subtropical moist broadleaf forest biome	terrestrial	land
Boreal	terrestrial	unclassified
water bacterioplankton	marine	other_terrestrial_water
Lake sediment	terrestrial	freshwater
Lake Sediment	terrestrial	freshwater
tropical moist broadleaf forest biome	terrestrial	land
ENVO:00009004	unclassified	unclassified
Oral Microbiome	unclassified	unclassified
broadleaf forest biome	terrestrial	land
freshwater wetland	terrestrial	freshwater
Intestine and spleen	unclassified	unclassified
Host Associated	unclassified	unclassified
large river biome	terrestrial	freshwater
mixed forest ENVO_01000212	terrestrial	land
mediterranean shrubland biome	terrestrial	land
biomass	unclassified	unclassified
small river biome biome	terrestrial	freshwater
mediterranean forests, woodlands, and shrub biome	terrestrial	land
Lysimeters	unclassified	unclassified
Terrestrial Biome	terrestrial	unclassified
Oil drilling waste recycling plant	unclassified	unclassified
flooded grassland biome	terrestrial	land
temperate grasslands, savannas, and shrubland biome	terrestrial	land
temperate coniferous forest biome	terrestrial	land
tundrar biome	terrestrial	land
Arcitic	unclassified	unclassified
International Space Station - Russian Service Module	unclassified	unclassified
fecal sample	unclassified	unclassified
Ice Sheet	unclassified	unclassified
middle Europe	unclassified	unclassified
artificial	unclassified	unclassified
marginal sea	marine	unclassified
Tundra/Polar dessert	terrestrial	unclassified
anthropogenic terrestrial biome(ENVO:01000219)	terrestrial	land
biogas sludge	unclassified	unclassified
Parkland	terrestrial_probable	land
parkland	terrestrial_probable	land
Building	unclassified	unclassified
temperate forest biome	terrestrial	land
Anerobic Reactor	terrestrial_probable	unclassified
ENVO:00000111	unclassified	unclassified
tropical shrubland biome	terrestrial	land
mangrove biome	marine_and_terrestrial	unclassified
gerbil	unclassified	unclassified
montane shrubland biome	terrestrial	land
vineyard	terrestrial	land
Polar Biome	unclassified	unclassified
01000219, 00000873	unclassified	unclassified
873	unclassified	unclassified
Rhizocotinia solani AG2-2 IV	unclassified	unclassified
Co-cultivation with the diatom Phaeodactylum tricornutum strain UTEX 646	unclassified	unclassified
field soil	terrestrial	land
pig feces	terrestrial	land
Human skin	terrestrial_probable	unclassified
wheat heads	terrestrial	land
fish gut	unclassified	unclassified
forested peatland	terrestrial	land
ENVO:00002228	unclassified	unclassified
mud flat	unclassified	unclassified
marine soil	marine	unclassified
urband biome	terrestrial	land
montane grassland biome	terrestrial	land
laboratory colony	terrestrial_probable	land
Human body	terrestrial_probable	unclassified
Paddy soil	terrestrial	unclassified
Influent	unclassified	unclassified
Effluent	unclassified	unclassified
Chlorinated_Effluent	unclassified	unclassified
Savannah	terrestrial	unclassified
North Pacific Subtropical Gyre	unclassified	unclassified
Sludge samples - Anaerobic Reactor	terrestrial_probable	unclassified
Microbial Mat Material	unclassified	unclassified
Trigonella archiducis-nicolai (Sirj.) Vassilcz.	unclassified	unclassified
Agricultural Landscape	terrestrial	unclassified
leaf of Trifolium repens	unclassified	unclassified
Grasslands	terrestrial	unclassified
female-vaginal lower third	terrestrial_probable	unclassified
female-posterior fornix	unclassified	unclassified
female-cervical canal	unclassified	unclassified
female- left fallopian tubes	unclassified	unclassified
female- right fallopian tubes	unclassified	unclassified
vaginal fluid	terrestrial_probable	unclassified
millet root	unclassified	unclassified
Coastal Bay	marine_and_terrestrial	unclassified
Channel	unclassified	unclassified
Pig gastrointestinal tract	terrestrial	unclassified
Skin	unclassified	unclassified
Beer	terrestrial	unclassified
marine benthic biome(ENVO:01000024)	marine	unclassified
ceca	unclassified	unclassified
ENVO:woodland biome	terrestrial	land
ENVO:wetland biome	terrestrial	land
ENVO:coastal scrubland biome	marine_and_terrestrial	unclassified
ENVO:montane grassland biome	terrestrial	land
ENVO:desert scrubland biome	terrestrial	land
ENVO:dry woodland biome	terrestrial	land
Chicha_microbiota	terrestrial	unclassified
terrene	unclassified	unclassified
Growth chamber study	unclassified	unclassified
paleome	unclassified	unclassified
seagrass bed sediment	marine	unclassified
Drylands	terrestrial_probable	land
cool tempreate	unclassified	unclassified
Colombia, Cundinamarca	unclassified	unclassified
Colombia, Antioquia	unclassified	unclassified
Cundinamarca	unclassified	unclassified
PCO:0000002	unclassified	unclassified
tropical marginal sea biome [ENVO:01001230]	marine	unclassified
temperate mediterannean sea biome	marine	unclassified
wheat-maize	terrestrial	land
boreal rain forest biome	terrestrial	land
Human-associated habitat	terrestrial_probable	unclassified
MAP meat	unclassified	unclassified
montane desert biome	terrestrial	land
digestive tract	unclassified	unclassified
digestive tractt	unclassified	unclassified
Field (riverine area)	terrestrial	freshwater
habitat	unclassified	unclassified
insecta-associated habitat [ENVO:00009004]	unclassified	unclassified
Pika	terrestrial	unclassified
temperate stream	unclassified	other_terrestrial_water
Mountainous beech forest; Beech forest; Hemiboreal, nemoral, coniferous, mixed broadleaved_�� coniferous forest; Boreal forest	terrestrial	land
ecological corridor	unclassified	unclassified
Xeric basin biome	terrestrial	unclassified
Mine water	terrestrial_probable	other_terrestrial_water
deciduous-coniferous biome	terrestrial	land
ENVO_00000296	unclassified	unclassified
ENVO:00002124	unclassified	unclassified
terrestrial biome [ENVO_00000446]	terrestrial	land
isolate	unclassified	unclassified
stratified lake	terrestrial	freshwater
oropharynx	unclassified	unclassified
rural biome	terrestrial	land
lichens	marine	unclassified
lichen	marine	unclassified
Laboratory reactor	terrestrial_probable	land
ENVO:00002123	unclassified	unclassified
human hair	terrestrial_probable	land
rat gut	terrestrial_probable	land
tropical and subtropical coniferous forest biome	terrestrial	land
tropical and subtropical moist broadleaf forest biome	terrestrial	land
sow	unclassified	unclassified
Rural biome	terrestrial	unclassified
bokashi	unclassified	unclassified
manure	unclassified	unclassified
oral cavity	unclassified	unclassified
mine	terrestrial_probable	land
forest soil [ENVO:00002261]	terrestrial	land
River sediments	terrestrial	freshwater
a	unclassified	unclassified
ENVO:02500044	unclassified	unclassified
arable field	terrestrial	land
subgingival	unclassified	unclassified
forearm	unclassified	unclassified
appendix	unclassified	unclassified
olfactory mucosa	unclassified	unclassified
kitome	unclassified	unclassified
back skin	unclassified	unclassified
Airways	unclassified	unclassified
larva	unclassified	unclassified
pollen	unclassified	unclassified
surface	unclassified	unclassified
PCRcontrol	unclassified	unclassified
larvae	unclassified	unclassified
nest	unclassified	unclassified
bufferControl	unclassified	unclassified
Kitcontrol	unclassified	unclassified
swabcontrol	unclassified	unclassified
Coastal marine virome	marine_and_terrestrial	unclassified
Coastal marine water	marine_and_terrestrial	other_terrestrial_water
biogas production plant	unclassified	unclassified
Mediterranean Sea	marine	unclassified
Pampean Region	unclassified	unclassified
human oral microbiome	terrestrial_probable	land
Homo Sapiens	terrestrial_probable	unclassified
digestive_tract_environment	unclassified	unclassified
fecal material	unclassified	unclassified
agricultural fields	terrestrial	land
uorgenital tract	unclassified	unclassified
host organism	unclassified	unclassified
00002259	unclassified	unclassified
2259	unclassified	unclassified
fresh water ENVO:00002011	terrestrial	freshwater
Hypersaline environment	unclassified	unclassified
Marine Biome (ENVO:00000447)	marine	unclassified
meditteranan ecosystem	unclassified	unclassified
inland	terrestrial_probable	land
hypersaline environment	unclassified	unclassified
wetland biome	terrestrial	land
primary forest	terrestrial	land
wetland area	terrestrial	land
snail microbiome	unclassified	unclassified
goat gut	unclassified	unclassified
indoor environment	terrestrial	land
bakery food	unclassified	unclassified
bird	unclassified	unclassified
mediterranean shrubland biome [ENVO:01000217]	terrestrial	land
Teku kana	unclassified	unclassified
Compost tea	terrestrial	unclassified
Soil forest	terrestrial	land
skin environment	unclassified	unclassified
plant leaf	unclassified	unclassified
plant environment	unclassified	unclassified
plant control	unclassified	unclassified
plant soil	terrestrial_probable	land
biostimulant	unclassified	unclassified
plant air	unclassified	unclassified
plant surfaces	unclassified	unclassified
respiratory airway	unclassified	unclassified
Bacteria	unclassified	unclassified
ENVO:00001995	unclassified	unclassified
Marine soil	marine	unclassified
sponge metagenome	unclassified	unclassified
stream	terrestrial	freshwater
Phoebe bournei plantation of subtropical China	terrestrial	land
Coral	marine	unclassified
digestive tract environment	unclassified	unclassified
soil column	terrestrial_probable	land
Wetlands	terrestrial	other_terrestrial_water
freshwater biom	terrestrial	freshwater
Production facility	unclassified	unclassified
Porifera	unclassified	unclassified
intestinal sample	unclassified	unclassified
Oral Cavity	unclassified	unclassified
ENVO_01000854	unclassified	unclassified
ENVO:1000249	unclassified	unclassified
nursery	unclassified	unclassified
ephemeral spring	unclassified	unclassified
wetland ecosystem	terrestrial	land
forested area	terrestrial	land
dehesa	unclassified	unclassified
ENVO:01000193	unclassified	unclassified
sub-alpine freshwater lake	terrestrial	freshwater
Milk	unclassified	unclassified
tropical desert biome	terrestrial	land
Not Applicable (NA)	unclassified	unclassified
entire larveae	unclassified	unclassified
lake anoxic hypolimnion	terrestrial	freshwater
suburban region	unclassified	unclassified
gut microbiomes	unclassified	unclassified
Coastal ocean	marine_and_terrestrial	unclassified
Dog	terrestrial	unclassified
soil microbiome	terrestrial_probable	land
sugar beet field	terrestrial	land
phyllome	unclassified	unclassified
hot springs	terrestrial	unclassified
sugar beet clamp	terrestrial	land
Broiler Chicken	terrestrial	unclassified
Mouse gut	terrestrial_probable	unclassified
bacterial	unclassified	unclassified
microbial function	unclassified	unclassified
crop	terrestrial	land
Polar desert	terrestrial	land
Microbial Fuel Cell	unclassified	unclassified
human intestine	terrestrial_probable	land
mock community	unclassified	unclassified
area of developed space with medium usage intensity	terrestrial	land
insectarium	unclassified	unclassified
marine virome	marine	unclassified
Boreal_Shield	terrestrial	unclassified
Atlantic_Maritime	unclassified	unclassified
Atlantic_Highlands	terrestrial	unclassified
Mixedwood_Plains	terrestrial	land
Fusarium wilt pathogen infested soil	terrestrial_probable	land
Gulf	marine	unclassified
Dry woodland	terrestrial	land
in a continuously-cropped Chinese fir plantation	terrestrial	land
seeds	unclassified	unclassified
ENVO:00002005	unclassified	unclassified
ENVO_00000316; ENVO:01000177	unclassified	unclassified
Sea water (ENVO:00002149)	marine	other_terrestrial_water
PF	unclassified	unclassified
STF	unclassified	unclassified
ACC	unclassified	unclassified
IO	unclassified	unclassified
open ocean	marine	unclassified
cow gut	terrestrial	land
drinking water (purified)	terrestrial	other_terrestrial_water
decidious and coniferious forest	terrestrial	land
digestive-tract-environment	unclassified	unclassified
Subtropical	unclassified	unclassified
Temperate deciduous broadleaf forest	terrestrial	land
BALB/c nude mice during chemotherapy	terrestrial_probable	land
Surface water	unclassified	other_terrestrial_water
polar desert	terrestrial	land
Marine Sediment	marine	unclassified
Pig feces	terrestrial	unclassified
meromictic lake	terrestrial	freshwater
ENVO:00000109	unclassified	unclassified
ENVO:01000032	unclassified	unclassified
ENVO_01000049	unclassified	unclassified
sio biocrust	unclassified	unclassified
Liquid	unclassified	unclassified
Evergreen rainforest	terrestrial	land
Dry deciduous forest	terrestrial	land
Temperate broadleaf forest	terrestrial	land
marine photic zone [ENVO:00000209]	marine	unclassified
temperate coniferous plantation biome	terrestrial	land
marine biome [ENVO:00000447] | environment determined by a biofilm on a saline surface [ENVO:01001056]	marine	unclassified
Southern Ocean	marine	unclassified
marine coral reef biome [ENVO:01000049]	marine	unclassified
Coriaria arborea	unclassified	unclassified
Coriaria thymifolia	unclassified	unclassified
Coriaria myrtifolia	unclassified	unclassified
non-saline sediment environment	unclassified	unclassified
ocean biome [ENVO:01000048]	marine	unclassified
multicellular organism	unclassified	unclassified
Coriaria nepalensis	unclassified	unclassified
Vineyard	terrestrial	unclassified
captivity	unclassified	unclassified
Temperate deciduous forest and grasslands	terrestrial	land
commercial soil	terrestrial_probable	land
agricultural land	terrestrial	land
Tupaia glis fecal	unclassified	unclassified
young plant	unclassified	unclassified
AQUATIC	unclassified	unclassified
agricultural landscape	terrestrial	land
Sponge	unclassified	unclassified
arid freshwater biome	terrestrial	freshwater
terrestial	terrestrial	land
Qinghai˗Tibetan Plateau	unclassified	unclassified
Human microbiota	terrestrial_probable	unclassified
Daphnia sp.	unclassified	unclassified
Gongga Mountain	unclassified	unclassified
Animal proximal gut	unclassified	unclassified
Mongolian grasslands	terrestrial	land
Copepods	unclassified	unclassified
Puna	unclassified	unclassified
sand dune	terrestrial	land
Ocean bay	marine_and_terrestrial	unclassified
Aquaculture facility, aquaculture system A	unclassified	unclassified
Aquaculture facility, aquaculture system B	unclassified	unclassified
rock pools	unclassified	unclassified
feather	unclassified	unclassified
ENVO: 01001048	unclassified	unclassified
Gastrointestinal tract	unclassified	unclassified
Freshwater/Marine	marine	other_terrestrial_water
anaerobic digester sludge	terrestrial_probable	land
bioethanol production process	unclassified	unclassified
oak	terrestrial	land
Food Processing	unclassified	unclassified
oral plaque	unclassified	unclassified
human virome	terrestrial_probable	land
Hu sheep	unclassified	unclassified
Outdoor_air	unclassified	unclassified
in vitro model	unclassified	unclassified
urban boiome	terrestrial	land
Illumina MiSeq	unclassified	unclassified
Gossypium hirsutum Linn.	unclassified	unclassified
Tamarix chinensis Lour.	unclassified	unclassified
Lycium chinensis Mill.	unclassified	unclassified
barren land(un-vegetation)	terrestrial_probable	land
Waste water treatment plant	unclassified	other_terrestrial_water
allotment garden soil	terrestrial_probable	land
tailings	unclassified	unclassified
Biome should be treated as the descriptor of the broad ecological context of a sample.	unclassified	unclassified
cave	unclassified	unclassified
host is healthy farmed silver fox or raccoon dog	unclassified	unclassified
sewage	unclassified	other_terrestrial_water
bee nest	terrestrial	land
Plant roots in conventionally managed spring barley field	terrestrial	land
bioligical reactor	terrestrial_probable	land
Savana	unclassified	unclassified
desert biome [ENVO:01000179]	terrestrial	land
marine neritic benthic zone biome [ENVO:01000025]	marine	unclassified
Mammary Gland	terrestrial_probable	land
roots of Coriandrum sativum	unclassified	unclassified
Air over the Red Sea	marine	unclassified
Seed meal treatment	unclassified	unclassified
Recirculating Acaqulture System	unclassified	unclassified
labotory conditions	unclassified	unclassified
cultured cell population	unclassified	unclassified
Vaginal	terrestrial_probable	land
UBERON_0001264	unclassified	unclassified
lagoon	unclassified	unclassified
aquaculture	unclassified	unclassified
arid	terrestrial	land
marine pelagic feature [ENVO:01000044]	marine	unclassified
Evergreen Rainforest	terrestrial	land
DESERT	terrestrial	unclassified
Caatinga	unclassified	unclassified
RIVER	terrestrial	freshwater
similiar desert	terrestrial	land
aquatic environment	unclassified	unclassified
AQUATIC ENVIRONMENT	unclassified	unclassified
Apodemus flavicollis	unclassified	unclassified
Arctic water	unclassified	other_terrestrial_water
food material	unclassified	unclassified
3000033	unclassified	unclassified
Gut microbiota	unclassified	unclassified
open photobioreactor	terrestrial_probable	land
planktonic	marine	unclassified
moutain	unclassified	unclassified
laboratory environment: 01001405	terrestrial_probable	land
laboratory environment: 01001406	terrestrial_probable	land
laboratory environment: 01001407	terrestrial_probable	land
laboratory environment: 01001408	terrestrial_probable	land
laboratory environment: 01001409	terrestrial_probable	land
laboratory environment: 01001410	terrestrial_probable	land
laboratory environment: 01001411	terrestrial_probable	land
laboratory environment: 01001412	terrestrial_probable	land
laboratory environment: 01001413	terrestrial_probable	land
laboratory environment: 01001414	terrestrial_probable	land
laboratory environment: 01001415	terrestrial_probable	land
laboratory environment: 01001416	terrestrial_probable	land
laboratory environment: 01001417	terrestrial_probable	land
laboratory environment: 01001418	terrestrial_probable	land
laboratory environment: 01001419	terrestrial_probable	land
laboratory environment: 01001420	terrestrial_probable	land
laboratory environment: 01001421	terrestrial_probable	land
laboratory environment: 01001422	terrestrial_probable	land
laboratory environment: 01001423	terrestrial_probable	land
laboratory environment: 01001424	terrestrial_probable	land
laboratory environment: 01001425	terrestrial_probable	land
laboratory environment: 01001426	terrestrial_probable	land
laboratory environment: 01001427	terrestrial_probable	land
laboratory environment: 01001428	terrestrial_probable	land
laboratory environment: 01001429	terrestrial_probable	land
laboratory environment: 01001430	terrestrial_probable	land
laboratory environment: 01001431	terrestrial_probable	land
laboratory environment: 01001432	terrestrial_probable	land
laboratory environment: 01001433	terrestrial_probable	land
laboratory environment: 01001434	terrestrial_probable	land
laboratory environment: 01001435	terrestrial_probable	land
laboratory environment: 01001436	terrestrial_probable	land
laboratory environment: 01001437	terrestrial_probable	land
laboratory environment: 01001438	terrestrial_probable	land
laboratory environment: 01001439	terrestrial_probable	land
laboratory environment: 01001440	terrestrial_probable	land
laboratory environment: 01001441	terrestrial_probable	land
laboratory environment: 01001442	terrestrial_probable	land
laboratory environment: 01001443	terrestrial_probable	land
laboratory environment: 01001444	terrestrial_probable	land
laboratory environment: 01001445	terrestrial_probable	land
laboratory environment: 01001446	terrestrial_probable	land
laboratory environment: 01001447	terrestrial_probable	land
laboratory environment: 01001448	terrestrial_probable	land
laboratory environment: 01001449	terrestrial_probable	land
laboratory environment: 01001450	terrestrial_probable	land
laboratory environment: 01001451	terrestrial_probable	land
laboratory environment: 01001452	terrestrial_probable	land
laboratory environment: 01001453	terrestrial_probable	land
laboratory environment: 01001454	terrestrial_probable	land
laboratory environment: 01001455	terrestrial_probable	land
laboratory environment: 01001456	terrestrial_probable	land
laboratory environment: 01001457	terrestrial_probable	land
laboratory environment: 01001458	terrestrial_probable	land
laboratory environment: 01001459	terrestrial_probable	land
laboratory environment: 01001460	terrestrial_probable	land
laboratory environment: 01001461	terrestrial_probable	land
laboratory environment: 01001462	terrestrial_probable	land
laboratory environment: 01001463	terrestrial_probable	land
laboratory environment: 01001464	terrestrial_probable	land
laboratory environment: 01001465	terrestrial_probable	land
laboratory environment: 01001466	terrestrial_probable	land
laboratory environment: 01001467	terrestrial_probable	land
laboratory environment: 01001468	terrestrial_probable	land
laboratory environment: 01001469	terrestrial_probable	land
laboratory environment: 01001470	terrestrial_probable	land
laboratory environment: 01001471	terrestrial_probable	land
laboratory environment: 01001472	terrestrial_probable	land
laboratory environment: 01001473	terrestrial_probable	land
laboratory environment: 01001474	terrestrial_probable	land
laboratory environment: 01001475	terrestrial_probable	land
laboratory environment: 01001476	terrestrial_probable	land
laboratory environment: 01001477	terrestrial_probable	land
laboratory environment: 01001478	terrestrial_probable	land
laboratory environment: 01001479	terrestrial_probable	land
laboratory environment: 01001480	terrestrial_probable	land
laboratory environment: 01001481	terrestrial_probable	land
laboratory environment: 01001482	terrestrial_probable	land
laboratory environment: 01001483	terrestrial_probable	land
laboratory environment: 01001484	terrestrial_probable	land
laboratory environment: 01001485	terrestrial_probable	land
laboratory environment: 01001486	terrestrial_probable	land
laboratory environment: 01001487	terrestrial_probable	land
laboratory environment: 01001488	terrestrial_probable	land
laboratory environment: 01001489	terrestrial_probable	land
Grassland ecossystem	terrestrial	unclassified
clean room	unclassified	unclassified
space station	unclassified	unclassified
anthropogenic	unclassified	unclassified
Mauritanian Upwelling	unclassified	unclassified
southern Pacific	unclassified	unclassified
tropical Pacific	unclassified	unclassified
northern Pacific	unclassified	unclassified
central Atlantic	unclassified	unclassified
Pond soil	terrestrial	unclassified
Agriculture	terrestrial	unclassified
seafloor	marine	unclassified
gnotobiotic	unclassified	unclassified
seafoor	marine	unclassified
urban_biome	terrestrial	land
savannah	terrestrial	land
tropical dry broadleaf forest biome	terrestrial	land
Insecta	unclassified	unclassified
macroalgae	unclassified	unclassified
1000219	unclassified	unclassified
mouse-gut	terrestrial_probable	land
Paramos	terrestrial	unclassified
mountain forest soil	terrestrial	land
marine water	marine	other_terrestrial_water
hydrothermal vent biome [ENVO:01000030]|marine bathyal zone biome [ENVO:01000026]	marine	unclassified
salt marsh	terrestrial	land
Natural Gas Seep	unclassified	unclassified
Carposphere	unclassified	unclassified
arid desert	terrestrial	land
Atlantic Ocean water	marine	other_terrestrial_water
blood	terrestrial	land
Acromyrmex echinatior leafcutter ant colony	unclassified	unclassified
A. echinatior leafcutter ant colony	unclassified	unclassified
A.echinatior leafcutter ant colonies	unclassified	unclassified
enrichment culture	unclassified	unclassified
ENVO_01000248	unclassified	unclassified
?	unclassified	unclassified
ENVO:00000114	unclassified	unclassified
Vermiculations deposits from cave walls	unclassified	unclassified
aquatic biome [ENVO:00002030]	unclassified	unclassified
temperate evergreen needleleaf forest (ENVO_01000383)	terrestrial	land
Chicken caecum	terrestrial	unclassified
Aerosols	unclassified	unclassified
estuarine biome [ENVO:01000020]	marine_and_terrestrial	unclassified
birth canal	unclassified	unclassified
Freshwater environment (ENVO:01000306)	terrestrial	freshwater
plant litter	unclassified	unclassified
Human Gut metagenome	terrestrial_probable	unclassified
Human gut metagenome	terrestrial_probable	unclassified
Human Oral metagenome	terrestrial_probable	unclassified
soil biome	terrestrial_probable	land
BAL	unclassified	unclassified
Lambs	unclassified	unclassified
000000133	unclassified	unclassified
brackish water body, ENVO:01001321	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001322	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001323	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001324	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001325	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001326	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001327	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001328	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001329	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001330	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001331	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001332	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001333	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001334	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001335	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001336	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001337	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001338	marine_and_terrestrial	other_terrestrial_water
brackish water body, ENVO:01001339	marine_and_terrestrial	other_terrestrial_water
